X,Y,fid,Name,No,SK_ID,SK_start_position,Side_road___kp,Road,Kp,Kp_SK,odc,Modules,Module_1,Module_2,Module_3,Module_4,Module_5,Module_6,Module_7,Module_8,Module_9,Module_10,Module_11,SK_ID_full,status,GSM,Odcinek,Typ szafy,icon_url
19.0182519,50.4055268,"1410",SSKA1dkm006527,"2413.0","2413.0","1367.0",,A1,,,,"1.0",104_C_3_002,,,,,,,,,,,ID_0_2413,"0",,"2",M-3.1,./0.png
19.0168051,50.4049164,"1411",SSKA1dkm006654,"2414.0","2414.0","1368.0",,A1,,,,"1.0",106_A_3_001,,,,,,,,,,,ID_0_2414,"0",,"2",M-3.1,./0.png
19.0164907,50.4052716,"1412",SSKA1dkm006658,"2415.0","2415.0","1369.0",,A1,,,,"1.0",106_A_3_000,,,,,,,,,,,ID_0_2415,"0",,"2",M-3.2,./0.png
19.0152978,50.4047088,"1413",SSKA1dkm006761,"2416.0","2416.0","1370.0",,A1,,,,"1.0",104_C_3_003,,,,,,,,,,,ID_0_2416,"0",,"2",M-3.1,./0.png
19.0114744,50.4032801,"1414",SSKA1dkm007068,"2417.0","2417.0","1371.0",,A1,,,,"2.0",104_B_3_330,114_A_3_312,,,,,,,,,,ID_0_2417,"0",,"2",M-3.1,./0.png
18.9924374,50.3938209,"1415",SSKA1dkm008779,"2418.0","2418.0","1373.0",,A1,,,,"2.0",104_C_3_016,106_B_3_013,,,,,,,,,,ID_0_2418,"0",,"2",M-3.3,./0.png
18.9528028,50.3684583,"1416",SSKA1dkm012827,"2419.0","2419.0","1375.0",,A1,,,,"2.0",101_A_3_022,101_A_3_084,,,,,,,,,,ID_0_2419,"0",,"2",M-3.1,./0.png
18.9425453,50.3685131,"1417",SSKA1dkm013555,"2420.0","2420.0","1377.0",,A1,,,,"1.0",106_A_3_086,,,,,,,,,,,ID_0_2420,"0",,"2",M-3.1,./0.png
19.1986241,50.4203522,"1498",SSKS1bkm011847,"2501.0","2501.0","1378.0",,S1,,,,"1.0",103_B_3_018.1,,,,,,,,,,,ID_0_2501,"0",,"7",M-3.2,./0.png
19.2041953,50.4202535,"1499",SSKS1bkm012233,"2502.0","2502.0","1379.0",,S1,,,,"1.0",104_C_3_201,,,,,,,,,,,ID_0_2502,"0",,"7",M-3.1,./0.png
19.218158,50.415968,"1500",SSKS1akm000702,"2503.0","2503.0","1380.0",,S1,,,,"1.0",104_C_3_196,,,,,,,,,,,ID_0_2503,"0",,"7",M-3.1,./0.png
19.2195571,50.4136799,"1501",SSKS1akm000975,"2504.0","2504.0","1381.0",,S1,,,,"1.0",103_B_3_018.2,,,,,,,,,,,ID_0_2504,"0",,"7",M-3.2,./0.png
19.212612,50.42025,"1502",SSKS1akm000102ŁL,"2505.0","2505.0","1382.0",,DK91,,, 106_A_3_073,"5.0",104_B_3_181,104_B_3_183,106_A_3_073,114_A_3_182,114_A_3_184,,,,,,,ID_0_2505,"0",,"7",M-3.1,./0.png
19.0881026,50.4559457,"1598",SSKS1bkm002335,"2601.0","2601.0","1387.0",,S1,,,,"2.0",104_C_3_204,104_C_3_205,,,,,,,,,,ID_0_2601,"0",,"2",M-3.1,./0.png
